,code
639,002684
640,000878
641,002269
642,600881
643,600694
644,600801
645,002501
646,300380
647,000619
648,000001
649,600012
650,600748
651,600761
652,600490
653,600571
654,000767
655,300240
656,000800
657,300421
658,601098
659,600138
660,603969
661,601898
662,600745
663,000851
664,300121
665,000551
666,600158
667,601003
668,600270
669,601618
670,601611
671,600660
672,002473
673,002709
674,300399
675,600865
676,601600
677,002156
678,600292
679,601888
680,002068
681,300410
682,000599
683,002607
684,600835
685,600068
686,000301
687,300349
688,000909
689,000739
690,300412
691,600166
692,600203
693,300204
694,000876
695,000652
696,300245
697,300359
698,600714
699,002280
700,600751
701,600563
702,600183
703,000859
704,002614
705,600830
706,601186
707,300085
708,000833
709,300152
710,300386
711,002219
712,002415
713,600684
714,600882
715,603022
716,601718
717,300346
718,600778
719,300413
720,002285
721,300388
722,300342
723,600600
724,000060
725,600511
726,600121
727,002557
728,600479
729,600823
730,600517
731,600583
732,002047
733,002475
734,603569
735,601988
736,002238
737,603568
738,002703
739,002397
740,002472
741,000539
742,300136
743,000404
744,002106
745,002205
746,600888
747,300119
748,000536
749,000937
750,600787
751,600000
752,300492
753,600100
754,601616
755,600723
756,300373
757,600850
758,000592
759,000507
760,603698
761,600298
762,002691
763,300214
764,600578
765,000607
766,000686
767,600055
768,000066
769,002515
770,601038
771,300441
772,300379
773,300417
774,600880
775,000529
776,600791
777,002242
778,002601
779,002585
780,600986
781,600873
782,600794
783,000963
784,000672
785,601118
786,300387
787,300390
788,000430
789,300130
790,000587
791,002199
792,000598
793,600758
794,600028
795,300151
796,000669
797,600613
798,002125
799,600193
800,000573
801,000090
802,601318
803,002504
804,600378
805,002152
806,002084
807,002063
808,603918
809,300356
810,600810
811,300210
812,600765
813,002452
814,002726
815,002805
816,600409
817,603001
818,600085
819,603778
820,600557
821,300133
822,002262
823,002064
824,300459
825,600362
826,601211
827,300129
828,000757
829,002039
830,300484
831,601018
832,002330
833,600086
834,002279
835,002651
836,002654
837,000531
838,000552
839,002050
840,600595
841,300274
842,603868
843,002511
844,300432
845,002225
846,002340
847,600688
848,600429
849,600460
850,600566
851,300485
852,601231
853,300333
854,603167
855,300066
856,300053
857,300187
858,600093
859,600693
860,000685
861,000630
862,002197
863,300265
864,600718
865,000883
866,300116
867,603100
868,000012
869,002344
870,000880
871,601368
872,600716
873,002130
874,002756
875,002215
876,600790
877,000597
878,600781
879,000532
880,002277
881,000626
882,601158
883,300394
884,300063
885,002535
886,000045
887,601258
888,000778
889,002588
890,002317
891,601899
892,600096
893,601800
894,002499
895,000718
896,600750
897,000816
